return_mean,return_std,return_last,volatility_mean,volatility_std,volatility_last,ema_5_mean,ema_5_std,ema_5_last,ema_15_mean,ema_15_std,ema_15_last,total_OI_change_mean,total_OI_change_std,total_OI_change_last,regime,pnl,success,profit_anomaly,loss_anomaly,anomaly_reason,regime_pnl_mean,regime_pnl_std,regime_profit_anomaly,anomaly_score,anomaly,rl_signal
-0.0009650931870347941,0.003979181148708436,-0.0164065841795915,0.00030518926253408235,0.00125832756523238,0.0051882174630794,15775.173529411766,20.93082444063536,15693.95,15778.346323529413,7.849059165238149,15747.8875,0.0,0.0,0.0,0,-778.9822016841742,0,False,False,Normal,-1474.42568459985,503.0435550183275,False,-0.13805896948524776,1,
-0.00019798050313961005,0.0013232816422022742,-0.0004098176951597,0.0026490384092972804,0.0023485005908886096,0.0008723408057184,15629.877197412143,39.299375615477956,15621.572594373476,15651.592573669104,42.73992855371025,15622.008863962767,422938.3333333333,2052859.9203803511,-2500.0,1,-262.8483855470133,0,False,False,Normal,-88.0259370119934,304.00637018509434,False,-0.14423119656271477,1,
8.630873154923964e-05,0.0007443613107736618,-0.0003161343475177,0.0007265492536388967,7.992115834459419e-05,0.0007732703091081,15654.606458015176,22.045170362061384,15665.434859354697,15646.67196946632,18.992157198530567,15668.224315397474,-4691.666666666667,20593.927307680366,-32350.0,1,-284.7050739419533,0,False,False,Normal,-88.0259370119934,304.00637018509434,False,0.044711718954175694,0,
-0.00069769452816937,0.004278092357812905,-0.0232001549004732,0.0006543277866670834,0.001337673827155725,0.0073365331554212,15746.659467522162,23.477360242523456,15630.233644180873,15737.331635117802,16.37204579073729,15705.404642441725,53.333333333333336,8609.617049969556,0.0,0,-2412.8421360811094,0,False,True,Underperforming trade,-1474.42568459985,503.0435550183275,False,-0.16159641689793025,1,
-0.00011209090958860007,0.0053940870512109,-0.0013809166231816,0.003395051671468663,0.004431645130589676,0.0054422878021231,15731.096259853279,35.72658005715071,15712.989750065903,15733.733617699248,18.9570902437432,15715.361211483585,-5183.333333333333,106835.47481132341,22600.0,1,-281.60630704179687,0,False,False,Normal,-88.0259370119934,304.00637018509434,False,-0.1298632501649999,1,
4.513971293269575e-05,0.0005449403711800802,-0.0008150502032868,0.00055368780806592,7.593877408188425e-05,0.0006251784041597,15758.534875726406,16.14718904165508,15765.071053205287,15747.892767238945,18.736024825757223,15767.412920309875,-1976.6666666666667,10291.07190333156,-8750.0,1,-200.79482334471626,0,False,False,Normal,-88.0259370119934,304.00637018509434,False,0.0686191110024561,0,
-4.302101043963674e-05,0.00036933387073361185,-0.0015913762562873,0.0002611520488256967,0.0002984079629930794,0.000503237358418,15833.998619184997,2.580789522768005,15826.949844790988,15825.954550885492,9.577240310279011,15831.45023102317,-1735.0,7009.601174153181,0.0,2,-601.7204366796027,0,False,False,Normal,-487.36057498896474,478.2191380230677,False,-6.555462174473448e-05,1,
5.327893112790332e-05,0.00045671940073620536,-0.0001406298341505,0.0004881493043389533,0.00016132304762805932,0.0004616539869998,15998.863696855155,15.133199147217017,16006.671370683674,15985.004487964667,21.390044554069398,16007.798053179336,6008.333333333333,24103.941884426622,96300.0,1,751.1689900226793,1,True,False,Outperforming trade,-88.0259370119934,304.00637018509434,True,0.0645698264054893,0,
0.0001879373233847345,0.0015431825213990291,-0.0013878355115951,0.0030401248534839167,0.002820157702537921,0.000809002280726,15874.688383604984,31.062502950299997,15885.946471370677,15858.53296654997,31.00335528593244,15889.674999462024,4126.666666666667,121119.09765223629,104900.0,1,-244.94921487282193,0,False,False,Normal,-88.0259370119934,304.00637018509434,False,-0.060739188004494404,1,
0.00012331142856593762,0.0009280908647791419,-0.0017426844863468,0.0008013689772212201,0.00019266975663029907,0.0011577833004176,15926.920576604525,42.98413030555617,15951.312822302862,15915.784155656875,33.03577130030945,15956.078618075413,171.66666666666666,34664.17380238997,1000.0,1,-318.0861736488908,0,False,False,Normal,-88.0259370119934,304.00637018509434,False,0.04117356956314466,0,
2.202679141156664e-06,0.00048803734189453236,-0.0013790041151233,0.0004132038302545167,0.0004658388771331446,0.0004360793906535,15988.478627327393,6.035834787309829,15982.450211618438,15981.770467158143,9.336153177677021,15986.471911183622,-7636.666666666667,24816.90863147521,0.0,2,-654.3520759135638,0,False,False,Normal,-487.36057498896474,478.2191380230677,False,0.019898436407400855,0,BUY
0.0002041928372151377,0.0014522028928120442,-0.0005560214953561,0.00121995602171361,0.0007868569793545622,0.0004142465964911,16083.510660138478,33.73124084452266,16096.74057406434,16065.164927237329,34.483189770242205,16098.231991753317,-32878.333333333336,152852.27242923676,-16650.0,1,-237.5615623264196,0,False,False,Normal,-88.0259370119934,304.00637018509434,False,0.04749077620835096,0,BUY
2.2137461785285993e-05,0.0005953581393885115,-0.0008537959769133,0.0007081973044006701,0.0004240996832216462,0.000578548223041,16099.971100010902,9.596654028433605,16101.500732135934,16091.628514319487,12.605720158802335,16102.458185069729,3701.6666666666665,16385.28820436888,-14650.0,1,-168.83445872840815,0,False,False,Normal,-88.0259370119934,304.00637018509434,False,0.10719553826699657,0,BUY
5.2955181853210735e-06,0.0004922804638322144,-0.0007729918509895,0.0005615246183070667,0.00017559887369697236,0.0006275237456616,16103.646994148194,6.057045619498765,16101.343685674488,16098.226248637546,6.983876943085658,16102.79968839748,368.3333333333333,10751.507378946462,4550.0,1,-287.2044128646396,0,False,False,Normal,-88.0259370119934,304.00637018509434,False,0.11649589889923317,0,BUY
