entry_index,side,entry_price,shares,entry_time,exit_index,exit_price,exit_time,pnl,return_pct,cum_pnl,win,entry_date
2,long,15695.519395000001,6.371245033907971,2022-07-01 09:25:00,6.0,15655.184325,2022-07-01 09:45:00,-306.9846144298367,-0.0030698461442983673,-306.9846144298367,False,2022-07-01
22,long,15619.611804999999,6.402207766007922,2022-07-01 11:05:00,24.0,15606.539190000001,2022-07-01 11:15:00,-133.69359727501444,-0.0013369359727501444,-440.67821170485115,False,2022-07-01
25,long,15637.013545,6.395083032461491,2022-07-01 11:20:00,31.0,15610.33881,2022-07-01 11:50:00,-220.58714519390992,-0.0022058714519390993,-661.2653568987611,False,2022-07-01
34,long,15634.413285,6.396146639921704,2022-07-01 12:05:00,61.0,15651.084735,2022-07-01 14:20:00,56.63303890012156,0.0005663303890012157,-604.6323179986396,True,2022-07-01
66,long,15687.818625,6.374372523700694,2022-07-01 14:45:00,101.0,15386.711175,2022-07-04 09:05:00,-1969.3710559615774,-0.019693710559615774,-2574.003373960217,False,2022-07-01
106,long,15750.274870000001,6.349095544387791,2022-07-04 09:30:00,111.0,15691.23072,2022-07-04 09:55:00,-424.87694968717415,-0.004248769496871741,-2998.880323647391,False,2022-07-04
123,long,15727.5726,6.358260269610836,2022-07-04 10:55:00,156.0,15751.674675,2022-07-04 13:40:00,103.24726588768502,0.0010324726588768502,-2895.633057759706,True,2022-07-04
164,long,15775.427385,6.338972476592589,2022-07-04 14:20:00,204.0,15808.81896,2022-07-05 09:05:00,161.66827487507493,0.0016166827487507493,-2733.964782884631,True,2022-07-04
205,long,15896.039445,6.290875179694799,2022-07-05 09:10:00,249.0,15997.050135,2022-07-05 12:50:00,585.4456426048404,0.005854456426048404,-2148.5191402797905,True,2022-07-05
309,long,15868.886729999998,6.301639283299617,2022-07-06 09:20:00,337.0,15863.513490000001,2022-07-06 11:40:00,-83.86022026257899,-0.0008386022026257899,-2232.3793605423693,False,2022-07-06
346,long,15894.439285,6.291508508536858,2022-07-06 12:25:00,367.0,15923.60748,2022-07-06 14:10:00,133.51194702116348,0.0013351194702116349,-2098.867413521206,True,2022-07-06
377,long,15966.296470000001,6.263193232563093,2022-07-06 15:00:00,409.0,15968.053034999999,2022-07-07 09:05:00,-38.99829397945619,-0.0003899829397945619,-2137.865707500662,False,2022-07-06
410,long,16064.556295,6.224884034371022,2022-07-07 09:10:00,437.0,16085.441294999999,2022-07-07 11:25:00,80.00670305782882,0.0008000670305782882,-2057.8590044428333,True,2022-07-07
441,long,16115.6114,6.205163274165323,2022-07-07 11:45:00,448.0,16089.440895,2022-07-07 12:20:00,-212.39225649236025,-0.0021239225649236026,-2270.2512609351934,False,2022-07-07
449,long,16108.560695,6.207879269501675,2022-07-07 12:25:00,454.0,16092.59058,2022-07-07 12:50:00,-149.14054584005822,-0.0014914054584005822,-2419.3918067752516,False,2022-07-07
458,long,16130.762915,6.199334806849711,2022-07-07 13:10:00,470.0,16093.69047,2022-07-07 14:10:00,-279.8244986635202,-0.002798244986635202,-2699.216305438772,False,2022-07-07
478,long,16120.51189,6.203276960580437,2022-07-07 14:50:00,541.0,16182.28161,2022-07-08 11:30:00,333.1746809375061,0.003331746809375061,-2366.0416245012657,True,2022-07-07
554,long,16211.92103,6.168300463279521,2022-07-08 12:35:00,564.0,16185.58128,2022-07-08 13:25:00,-212.47149212766172,-0.0021247149212766173,-2578.5131166289275,False,2022-07-08
566,long,16203.32017,6.1715746495676385,2022-07-08 13:35:00,572.0,16178.631975,2022-07-08 14:05:00,-202.36503840558643,-0.0020236503840558645,-2780.878155034514,False,2022-07-08
585,long,16219.171755,6.165542945753213,2022-07-08 15:10:00,615.0,16114.888350000001,2022-07-11 09:05:00,-692.9638120568649,-0.006929638120568649,-3473.8419670913786,False,2022-07-08
632,long,16164.466285,6.186409018205329,2022-07-11 10:30:00,634.0,16152.28461,2022-07-11 10:40:00,-125.36082407684525,-0.0012536082407684525,-3599.202791168224,False,2022-07-11
642,long,16162.71611,6.187078911701556,2022-07-11 11:20:00,644.0,16145.335305,2022-07-11 11:30:00,-157.53641208388999,-0.0015753641208388998,-3756.739203252114,False,2022-07-11
