entry_date,trades,daily_pnl,daily_winrate
2022-11-17,4,-566.6427072527059,0.0
2022-11-18,3,-1965.756302859395,0.0
2022-11-21,3,-1966.4980339180108,0.0
2022-11-22,5,-13.509765303769996,0.4
2022-11-23,2,-263.8951270383146,0.0
2022-11-24,2,330.20415598349234,0.5
2022-11-25,3,-1038.547467284599,0.0
2022-11-28,2,62.921323202199176,0.5
2022-11-29,2,-113.15468604727675,0.5
2022-11-30,3,698.4508795111594,0.3333333333333333
2022-12-01,4,-731.3722029270428,0.0
2022-12-02,2,-230.89422313412058,0.0
2022-12-05,2,-1046.8103910471855,0.5
2022-12-06,4,-715.9432842468941,0.0
2022-12-07,5,-756.4804714283205,0.0
2022-12-08,5,-771.1993909098585,0.0
2022-12-09,4,-2006.4850064227624,0.0
2022-12-12,3,-15.145376719131804,0.6666666666666666
2022-12-13,4,224.84856953286754,0.5
2022-12-14,2,-505.9088843024074,0.0
2022-12-16,3,-584.3865131083274,0.0
2022-12-19,3,-497.8417911008602,0.3333333333333333
2022-12-20,1,823.015767727183,1.0
2022-12-21,2,-598.3539058874321,0.0
2022-12-22,3,-773.351516560198,0.0
2022-12-23,1,-170.97465855417852,0.0
2022-12-26,2,631.7572161442018,0.5
2022-12-27,3,-746.9966761655046,0.0
2022-12-28,4,-634.4673994345893,0.0
2022-12-29,3,654.9779300793579,0.3333333333333333
2022-12-30,3,-669.8063758784882,0.0
2023-01-02,4,-423.1371694148943,0.25
2023-01-03,2,-366.0473245659404,0.5
2023-01-04,2,-188.39534705188143,0.0
2023-01-05,3,-864.5986345977784,0.0
2023-01-06,4,576.221229763195,0.25
2023-01-09,1,-150.5174701096715,0.0
2023-01-10,2,-369.09313787342575,0.0
2023-01-11,5,-920.7756013328215,0.0
2023-01-12,3,-730.0576446269438,0.0
2023-01-13,2,644.5337640862397,1.0
2023-01-16,2,136.85598889394691,0.5
2023-01-17,2,217.94123651117727,0.5
2023-01-18,4,-317.727034301808,0.25
2023-01-19,5,-1084.9092316571123,0.0
2023-01-20,3,-490.97201809352026,0.0
2023-01-23,4,-738.0107558796925,0.25
2023-01-24,5,-712.6270340720454,0.0
2023-01-25,2,-452.3488325404858,0.0
2023-01-27,2,-39.99076705639919,0.5
2023-01-30,3,-417.77531014714054,0.3333333333333333
2023-01-31,4,-38.439137012608,0.25
2023-02-01,3,-1652.3814205718318,0.0
2023-02-02,4,-510.91166689446385,0.25
2023-02-03,3,476.43047600383835,0.3333333333333333
2023-02-06,4,-569.7556501080256,0.0
2023-02-07,3,-361.0494847146922,0.0
2023-02-08,3,41.8391308043758,0.6666666666666666
2023-02-09,3,-602.096299183649,0.0
2023-02-10,3,-334.06158146240614,0.0
2023-02-13,2,-228.76195959576728,0.0
2023-02-14,1,-237.6174702379443,0.0
2023-02-15,4,208.73547693704256,0.25
2023-02-16,1,-163.39722542816986,0.0
2023-02-17,5,-1361.1549109976938,0.0
2023-02-20,1,-267.90114566524494,0.0
2023-02-21,3,-1604.9347257620143,0.0
2023-02-22,1,-171.5447230668669,0.0
2023-02-23,5,-1031.4803240376611,0.0
2023-02-24,5,-2148.2771588228725,0.0
2023-02-27,2,-920.7399156129151,0.0
2023-02-28,4,-786.9822030359404,0.0
2023-03-01,3,-589.315017713414,0.0
2023-03-02,1,-94.451147719304,0.0
2023-03-03,2,394.07422789891154,1.0
2023-03-06,4,-291.86680334469395,0.25
