timestamp,open,high,low,close,volume,symbol,symbol_fut,open_fut,high_fut,low_fut,close_fut,volume_fut,oi,return,volatility,mom_30,mom_60,ATR_14,return_skewness,total_OI_change,regime,ema_5,ema_15,signal_raw,entry_long,entry_short
2025-09-18 03:45:00,25440.69921875,25440.69921875,25403.75,25411.19921875,0,NIFTY,,,,,,,100000.0,0.0006473984849506,0.0002852533366386,0.0003525279794598,-0.0019676363783377,17.39829809529787,-0.5464960604663094,45.68296025582806,1,25411.19921875,25411.19921875,0,0,0
2025-09-18 03:50:00,25410.650390625,25428.099609375,25393.900390625,25427.650390625,0,NIFTY,,,,,,,100045.68296025584,0.0006473984849506,0.0002922822720106,6.977086528989226e-05,-0.0019676363783377,17.09791256086523,-0.5464960604663094,45.68296025582828,0,25416.682942708336,25413.255615234375,1,1,0
2025-09-18 03:55:00,25427.849609375,25437.099609375,25416.650390625,25425.099609375,0,NIFTY,,,,,,,100091.36592051164,-0.0001003152556691,0.0002921929715968,0.0001725234418089,-0.0019676363783377,16.59836515672826,-0.5464960604663094,45.68296025581373,1,25419.488498263894,25414.736114501953,1,0,0
2025-09-18 04:00:00,25424.75,25427.900390625,25415.80078125,25418.80078125,0,NIFTY,,,,,,,100137.04888076748,-0.0002477405485828,0.0002686876828222,0.0002267287077431,-0.0019676363783377,17.130823975333094,-0.5464960604663094,45.68296025582804,0,25419.259259259266,25415.24419784546,1,0,0
2025-09-18 04:05:00,25419.900390625,25422.25,25403.900390625,25406.44921875,0,NIFTY,,,,,,,100182.7318410233,-0.0004859223142072,0.000299005574146,1.772095536652462e-05,-0.0019676363783377,17.210166809632987,-0.5464960604663094,45.682960255828505,1,25414.98924575618,25414.144825458527,1,0,0
2025-09-18 04:10:00,25406.349609375,25424.849609375,25404.55078125,25424.849609375,0,NIFTY,,,,,,,100228.41480127913,0.0007242409384551,0.0002799897074014,-0.0003670722321724,-0.0019676363783377,17.34164859716354,-0.5464960604663094,45.68296025582861,0,25418.276033629125,25415.482923448086,1,0,0
2025-09-18 04:15:00,25424.900390625,25428.599609375,25416.19921875,25421.94921875,0,NIFTY,,,,,,,100274.09776153494,-0.000114077002207,0.0002790909914262,-2.965187381056577e-05,-0.0019676363783377,17.196789170476066,-0.5464960604663094,45.68296025581392,1,25419.500428669417,25416.291210360825,1,0,0
2025-09-18 04:20:00,25422.849609375,25424.0,25411.0,25417.599609375,0,NIFTY,,,,,,,100319.78072179075,-0.0001710966117339,0.0002704407360893,-0.0002154604542347,-0.0019676363783377,16.928199510328987,-0.5464960604663094,45.682960255828135,0,25418.866822237946,25416.454760237597,1,0,0
2025-09-18 04:25:00,25417.400390625,25420.30078125,25410.75,25415.19921875,0,NIFTY,,,,,,,100365.4636820466,-9.443813192000494e-05,0.000277010823357,-8.551975972515927e-05,-0.0019676363783377,17.098123854203234,-0.5464960604663094,45.68296025582881,1,25417.64428774197,25416.297817551647,1,0,0
2025-09-18 04:30:00,25415.150390625,25420.150390625,25411.349609375,25414.30078125,0,NIFTY,,,,,,,100411.14664230242,-3.535040163438197e-05,0.0002857449685255,0.0004094807635147,-0.0019676363783377,17.16577195782353,-0.5464960604663094,45.68296025582813,0,25416.529785577983,25416.04818801394,1,0,0
