timestamp,strikePrice,type,expiryDate,lastPrice,openInterest,changeinOpenInterest,impliedVolatility,underlyingValue
2025-11-03 00:04:58.670764,21000,PE,31-Mar-2026,39.05,2213.0,20.0,20.67,25722.1
2025-11-03 00:04:58.670767,21000,PE,30-Jun-2026,54.8,5029.0,-33.0,18.85,25722.1
2025-11-03 00:04:58.670769,21000,PE,29-Sep-2026,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670772,21000,CE,29-Dec-2026,5675.0,3.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670774,21000,PE,29-Dec-2026,138.0,552.0,32.0,19.81,25722.1
2025-11-03 00:04:58.670777,21000,PE,29-Jun-2027,206.0,13.333333333333334,0.0,0.0,25722.1
2025-11-03 00:04:58.670780,21000,PE,28-Dec-2027,340.0,13.666666666666666,0.0,0.0,25722.1
2025-11-03 00:04:58.670782,21000,PE,27-Jun-2028,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670786,21000,PE,26-Dec-2028,618.05,16.666666666666668,0.0,0.0,25722.1
2025-11-03 00:04:58.670788,21000,PE,26-Jun-2029,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670790,21000,PE,24-Dec-2029,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670793,21000,PE,25-Jun-2030,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670795,22000,CE,30-Dec-2025,4060.6,6046.0,12.666666666666666,0.0,25722.1
2025-11-03 00:04:58.670797,22000,PE,30-Dec-2025,18.0,20446.0,-629.3333333333334,21.48,25722.1
2025-11-03 00:04:58.670800,22000,CE,31-Mar-2026,4432.35,7.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670802,22000,PE,31-Mar-2026,52.5,3961.0,98.0,18.32,25722.1
2025-11-03 00:04:58.670805,22000,PE,30-Jun-2026,63.45,2150.0,1310.0,16.57,25722.1
2025-11-03 00:04:58.670808,22000,PE,29-Sep-2026,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670810,22000,CE,29-Dec-2026,5600.0,25.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670812,22000,PE,29-Dec-2026,185.0,835.6666666666666,0.0,18.76,25722.1
2025-11-03 00:04:58.670816,22000,PE,29-Jun-2027,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670818,22000,PE,28-Dec-2027,373.95,27.333333333333332,0.0,0.0,25722.1
2025-11-03 00:04:58.670821,22000,PE,27-Jun-2028,470.05,4.333333333333333,0.0,0.0,25722.1
2025-11-03 00:04:58.670823,22000,PE,26-Dec-2028,447.0,5.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670826,22000,PE,26-Jun-2029,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670828,22000,PE,24-Dec-2029,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670830,22000,PE,25-Jun-2030,0.0,0.0,0.0,0.0,25722.1
2025-11-03 00:04:58.670833,22700,CE,25-Nov-2025,3190.0,82.0,1.0,20.17,25722.1
2025-11-03 00:04:58.670835,22700,PE,25-Nov-2025,7.45,4474.0,-27.0,23.13,25722.1
2025-11-03 00:04:58.670837,22750,CE,25-Nov-2025,3295.6,6.0,0.0,0.0,25722.1
