entry_index,side,entry_price,shares,entry_time,exit_index,exit_price,exit_time,pnl,return_pct,cum_pnl,win,entry_date
2,long,25430.392394335937,3.932302673484221,2025-09-18 03:55:00,12,25405.709175,2025-09-18 04:45:00,-147.06188938490203,-0.0014706188938490203,-147.06188938490203,False,2025-09-18
16,long,25419.891344335938,3.933927122087483,2025-09-18 05:05:00,30,25412.558099414062,2025-09-18 06:15:00,-78.84845109107842,-0.0007884845109107842,-225.91034047598043,False,2025-09-18
68,long,25392.988263671876,3.9380949954229534,2025-09-18 09:25:00,77,25360.063349414064,2025-09-19 03:55:00,-179.66144006341892,-0.0017966144006341892,-405.57178053939936,False,2025-09-18
120,long,25311.081636328126,3.950838665719976,2025-09-19 07:30:00,145,25315.218225,2025-09-19 09:35:00,-33.657005530980754,-0.0003365700553098075,-439.2287860703801,False,2025-09-19
150,long,25257.974763671875,3.959145613837113,2025-09-22 03:45:00,151,25254.97425,2025-09-22 03:50:00,-61.87947054326427,-0.0006187947054326427,-501.1082566136444,False,2025-09-22
160,long,25323.182455664064,3.9489507361517626,2025-09-22 04:35:00,162,25308.4689,2025-09-22 04:45:00,-108.10310647101622,-0.0010810310647101622,-609.2113630846607,False,2025-09-22
167,long,25321.381494335936,3.949231601852715,2025-09-22 05:10:00,169,25305.96915,2025-09-22 05:20:00,-110.86691731010981,-0.0011086691731010982,-720.0782803947704,False,2025-09-22
191,long,25305.5303,3.9517053709006844,2025-09-22 07:10:00,200,25276.071749414063,2025-09-22 07:55:00,-166.41151256939233,-0.0016641151256939232,-886.4897929641628,False,2025-09-22
260,long,25133.063836328125,3.978822504539094,2025-09-23 06:40:00,292,25183.981350000002,2025-09-23 09:20:00,152.59174927284045,0.0015259174927284044,-733.8980436913223,True,2025-09-23
332,long,25079.558486328126,3.987311022820199,2025-09-24 06:25:00,334,25060.044526171874,2025-09-24 06:35:00,-127.80822842989544,-0.0012780822842989544,-861.7062721212177,False,2025-09-24
336,long,25093.809911328124,3.9850465255519807,2025-09-24 06:45:00,359,25102.790251171875,2025-09-24 08:40:00,-14.212927907385264,-0.00014212927907385263,-875.919200028603,False,2025-09-24
422,long,25006.250375,3.9990001899675054,2025-09-25 07:40:00,425,24970.403100585936,2025-09-25 07:55:00,-193.35325719165755,-0.0019335325719165755,-1069.2724572202605,False,2025-09-25
430,long,25003.250075,3.9994800555943324,2025-09-25 08:20:00,433,24969.701998828124,2025-09-25 08:35:00,-184.17486155297527,-0.0018417486155297526,-1253.4473187732358,False,2025-09-25
